(-10,  0)
(-10,  0.157895)
(-10,  0.315789)
(-10,  0.473684)
(-10,  0.631579)
(-10,  0.789474)
(-10,  0.947368)
(-10,  1.10526)
(-10,  1.26316)
(-10,  1.42105)
(-10,  1.57895)
(-10,  1.73684)
(-10,  1.89474)
(-10,  2.05263)
(-10,  2.21053)
(-10,  2.36842)
(-10,  2.52632)
(-10,  2.68421)
(-10,  2.84211)
(-10,  3)
(-9.69387,  4.68386e-06)
(-9.69387,  0.157899)
(-9.69387,  0.315794)
(-9.69387,  0.473688)
(-9.69387,  0.631583)
(-9.69387,  0.789477)
(-9.69387,  0.947372)
(-9.69387,  1.10527)
(-9.69387,  1.26316)
(-9.69387,  1.42106)
(-9.69387,  1.57895)
(-9.69387,  1.73684)
(-9.69387,  1.89474)
(-9.69387,  2.05263)
(-9.69387,  2.21053)
(-9.69388,  2.36842)
(-9.69388,  2.52632)
(-9.69388,  2.68421)
(-9.69388,  2.84211)
(-9.69388,  3)
(-9.38773,  1.63282e-05)
(-9.38773,  0.15791)
(-9.38773,  0.315804)
(-9.38774,  0.473698)
(-9.38774,  0.631592)
(-9.38774,  0.789486)
(-9.38774,  0.94738)
(-9.38774,  1.10527)
(-9.38774,  1.26317)
(-9.38774,  1.42106)
(-9.38774,  1.57896)
(-9.38775,  1.73685)
(-9.38775,  1.89474)
(-9.38775,  2.05264)
(-9.38775,  2.21053)
(-9.38775,  2.36842)
(-9.38775,  2.52632)
(-9.38775,  2.68421)
(-9.38775,  2.84211)
(-9.38776,  3)
(-9.0816,  4.54085e-05)
(-9.0816,  0.157938)
(-9.0816,  0.31583)
(-9.0816,  0.473722)
(-9.08161,  0.631615)
(-9.08161,  0.789507)
(-9.08161,  0.947399)
(-9.08161,  1.10529)
(-9.08161,  1.26318)
(-9.08161,  1.42108)
(-9.08162,  1.57897)
(-9.08162,  1.73686)
(-9.08162,  1.89475)
(-9.08162,  2.05265)
(-9.08162,  2.21054)
(-9.08163,  2.36843)
(-9.08163,  2.52632)
(-9.08163,  2.68422)
(-9.08163,  2.84211)
(-9.08163,  3)
(-8.77546,  0.000118158)
(-8.77547,  0.158007)
(-8.77547,  0.315895)
(-8.77547,  0.473784)
(-8.77547,  0.631672)
(-8.77548,  0.789561)
(-8.77548,  0.947449)
(-8.77548,  1.10534)
(-8.77548,  1.26323)
(-8.77549,  1.42111)
(-8.77549,  1.579)
(-8.77549,  1.73689)
(-8.77549,  1.89478)
(-8.7755,  2.05267)
(-8.7755,  2.21056)
(-8.7755,  2.36845)
(-8.7755,  2.52633)
(-8.77551,  2.68422)
(-8.77551,  2.84211)
(-8.77551,  3)
(-8.46933,  0.000300235)
(-8.46933,  0.158179)
(-8.46934,  0.316058)
(-8.46934,  0.473937)
(-8.46934,  0.631816)
(-8.46935,  0.789695)
(-8.46935,  0.947574)
(-8.46935,  1.10545)
(-8.46935,  1.26333)
(-8.46936,  1.42121)
(-8.46936,  1.57909)
(-8.46936,  1.73697)
(-8.46937,  1.89485)
(-8.46937,  2.05273)
(-8.46937,  2.21061)
(-8.46938,  2.36848)
(-8.46938,  2.52636)
(-8.46938,  2.68424)
(-8.46938,  2.84212)
(-8.46939,  3)
(-8.1632,  0.000755718)
(-8.1632,  0.158611)
(-8.1632,  0.316466)
(-8.16321,  0.474321)
(-8.16321,  0.632176)
(-8.16322,  0.790031)
(-8.16322,  0.947885)
(-8.16322,  1.10574)
(-8.16323,  1.2636)
(-8.16323,  1.42145)
(-8.16323,  1.57931)
(-8.16324,  1.73716)
(-8.16324,  1.89502)
(-8.16324,  2.05287)
(-8.16325,  2.21073)
(-8.16325,  2.36858)
(-8.16325,  2.52644)
(-8.16326,  2.68429)
(-8.16326,  2.84215)
(-8.16327,  3)
(-7.85706,  0.0018931)
(-7.85707,  0.159688)
(-7.85707,  0.317483)
(-7.85708,  0.475278)
(-7.85708,  0.633074)
(-7.85708,  0.790869)
(-7.85709,  0.948664)
(-7.85709,  1.10646)
(-7.8571,  1.26425)
(-7.8571,  1.42205)
(-7.85711,  1.57984)
(-7.85711,  1.73764)
(-7.85711,  1.89543)
(-7.85712,  2.05323)
(-7.85712,  2.21102)
(-7.85713,  2.36882)
(-7.85713,  2.52661)
(-7.85713,  2.68441)
(-7.85714,  2.8422)
(-7.85714,  3)
(-7.55093,  0.00471986)
(-7.55093,  0.162366)
(-7.55094,  0.320013)
(-7.55094,  0.477659)
(-7.55095,  0.635305)
(-7.55095,  0.792951)
(-7.55096,  0.950598)
(-7.55096,  1.10824)
(-7.55097,  1.26589)
(-7.55097,  1.42354)
(-7.55098,  1.58118)
(-7.55098,  1.73883)
(-7.55099,  1.89648)
(-7.55099,  2.05412)
(-7.551,  2.21177)
(-7.551,  2.36941)
(-7.55101,  2.52706)
(-7.55101,  2.68471)
(-7.55102,  2.84235)
(-7.55102,  3)
(-7.2448,  0.0116627)
(-7.2448,  0.168944)
(-7.24481,  0.326225)
(-7.24481,  0.483505)
(-7.24482,  0.640786)
(-7.24482,  0.798067)
(-7.24483,  0.955348)
(-7.24483,  1.11263)
(-7.24484,  1.26991)
(-7.24484,  1.42719)
(-7.24485,  1.58447)
(-7.24486,  1.74175)
(-7.24486,  1.89903)
(-7.24487,  2.05631)
(-7.24487,  2.2136)
(-7.24488,  2.37088)
(-7.24488,  2.52816)
(-7.24489,  2.68544)
(-7.24489,  2.84272)
(-7.2449,  3)
(-6.93866,  0.0282305)
(-6.93867,  0.184639)
(-6.93868,  0.341048)
(-6.93868,  0.497457)
(-6.93869,  0.653866)
(-6.93869,  0.810275)
(-6.9387,  0.966684)
(-6.93871,  1.12309)
(-6.93871,  1.2795)
(-6.93872,  1.43591)
(-6.93872,  1.59232)
(-6.93873,  1.74873)
(-6.93873,  1.90514)
(-6.93874,  2.06155)
(-6.93875,  2.21796)
(-6.93875,  2.37436)
(-6.93876,  2.53077)
(-6.93876,  2.68718)
(-6.93877,  2.84359)
(-6.93878,  3)
(-6.63254,  0.0651864)
(-6.63255,  0.21965)
(-6.63255,  0.374114)
(-6.63256,  0.528578)
(-6.63256,  0.683042)
(-6.63257,  0.837506)
(-6.63258,  0.99197)
(-6.63258,  1.14643)
(-6.63259,  1.3009)
(-6.63259,  1.45536)
(-6.6326,  1.60983)
(-6.63261,  1.76429)
(-6.63261,  1.91875)
(-6.63262,  2.07322)
(-6.63262,  2.22768)
(-6.63263,  2.38214)
(-6.63264,  2.53661)
(-6.63264,  2.69107)
(-6.63265,  2.84554)
(-6.63265,  3)
(-6.32645,  0.136509)
(-6.32645,  0.287219)
(-6.32645,  0.437929)
(-6.32646,  0.58864)
(-6.32646,  0.73935)
(-6.32647,  0.89006)
(-6.32647,  1.04077)
(-6.32648,  1.19148)
(-6.32648,  1.34219)
(-6.32649,  1.4929)
(-6.32649,  1.64361)
(-6.32649,  1.79432)
(-6.3265,  1.94503)
(-6.3265,  2.09574)
(-6.32651,  2.24645)
(-6.32651,  2.39716)
(-6.32652,  2.54787)
(-6.32652,  2.69858)
(-6.32653,  2.84929)
(-6.32653,  3)
(-6.02039,  0.242353)
(-6.02039,  0.387492)
(-6.02039,  0.532631)
(-6.0204,  0.677771)
(-6.0204,  0.82291)
(-6.0204,  0.968049)
(-6.0204,  1.11319)
(-6.0204,  1.25833)
(-6.0204,  1.40347)
(-6.0204,  1.54861)
(-6.0204,  1.69375)
(-6.0204,  1.83889)
(-6.0204,  1.98402)
(-6.0204,  2.12916)
(-6.0204,  2.2743)
(-6.02041,  2.41944)
(-6.02041,  2.56458)
(-6.02041,  2.70972)
(-6.02041,  2.85486)
(-6.02041,  3)
(-5.71435,  0.351011)
(-5.71434,  0.490431)
(-5.71434,  0.629852)
(-5.71434,  0.769272)
(-5.71433,  0.908693)
(-5.71433,  1.04811)
(-5.71433,  1.18753)
(-5.71432,  1.32695)
(-5.71432,  1.46637)
(-5.71432,  1.6058)
(-5.71431,  1.74522)
(-5.71431,  1.88464)
(-5.71431,  2.02406)
(-5.7143,  2.16348)
(-5.7143,  2.3029)
(-5.7143,  2.44232)
(-5.7143,  2.58174)
(-5.71429,  2.72116)
(-5.71429,  2.86058)
(-5.71429,  3)
(-5.40826,  0.427552)
(-5.40825,  0.562944)
(-5.40825,  0.698336)
(-5.40824,  0.833728)
(-5.40824,  0.96912)
(-5.40823,  1.10451)
(-5.40823,  1.2399)
(-5.40822,  1.3753)
(-5.40822,  1.51069)
(-5.40821,  1.64608)
(-5.40821,  1.78147)
(-5.4082,  1.91686)
(-5.4082,  2.05226)
(-5.40819,  2.18765)
(-5.40819,  2.32304)
(-5.40818,  2.45843)
(-5.40818,  2.59382)
(-5.40817,  2.72922)
(-5.40817,  2.86461)
(-5.40816,  3)
(-5.10213,  0.468322)
(-5.10213,  0.601568)
(-5.10212,  0.734814)
(-5.10212,  0.86806)
(-5.10211,  1.00131)
(-5.10211,  1.13455)
(-5.1021,  1.2678)
(-5.1021,  1.40105)
(-5.10209,  1.53429)
(-5.10209,  1.66754)
(-5.10208,  1.80078)
(-5.10208,  1.93403)
(-5.10208,  2.06728)
(-5.10207,  2.20052)
(-5.10207,  2.33377)
(-5.10206,  2.46702)
(-5.10206,  2.60026)
(-5.10205,  2.73351)
(-5.10205,  2.86675)
(-5.10204,  3)
(-4.796,  0.486854)
(-4.796,  0.619125)
(-4.79599,  0.751395)
(-4.79599,  0.883666)
(-4.79599,  1.01594)
(-4.79598,  1.14821)
(-4.79598,  1.28048)
(-4.79597,  1.41275)
(-4.79597,  1.54502)
(-4.79596,  1.67729)
(-4.79596,  1.80956)
(-4.79595,  1.94183)
(-4.79595,  2.0741)
(-4.79595,  2.20637)
(-4.79594,  2.33865)
(-4.79594,  2.47092)
(-4.79593,  2.60319)
(-4.79593,  2.73546)
(-4.79592,  2.86773)
(-4.79592,  3)
(-4.48987,  0.494667)
(-4.48987,  0.626527)
(-4.48986,  0.758386)
(-4.48986,  0.890246)
(-4.48985,  1.02211)
(-4.48985,  1.15397)
(-4.48985,  1.28582)
(-4.48984,  1.41768)
(-4.48984,  1.54954)
(-4.48983,  1.6814)
(-4.48983,  1.81326)
(-4.48983,  1.94512)
(-4.48982,  2.07698)
(-4.48982,  2.20884)
(-4.48982,  2.3407)
(-4.48981,  2.47256)
(-4.48981,  2.60442)
(-4.4898,  2.73628)
(-4.4898,  2.86814)
(-4.4898,  3)
(-4.18374,  0.497857)
(-4.18373,  0.629548)
(-4.18373,  0.76124)
(-4.18373,  0.892932)
(-4.18372,  1.02462)
(-4.18372,  1.15632)
(-4.18372,  1.28801)
(-4.18371,  1.4197)
(-4.18371,  1.55139)
(-4.18371,  1.68308)
(-4.1837,  1.81477)
(-4.1837,  1.94647)
(-4.1837,  2.07816)
(-4.18369,  2.20985)
(-4.18369,  2.34154)
(-4.18369,  2.47323)
(-4.18368,  2.60492)
(-4.18368,  2.73662)
(-4.18368,  2.86831)
(-4.18367,  3)
(-3.8776,  0.499141)
(-3.8776,  0.630765)
(-3.8776,  0.762389)
(-3.87759,  0.894014)
(-3.87759,  1.02564)
(-3.87759,  1.15726)
(-3.87759,  1.28889)
(-3.87758,  1.42051)
(-3.87758,  1.55213)
(-3.87758,  1.68376)
(-3.87758,  1.81538)
(-3.87757,  1.94701)
(-3.87757,  2.07863)
(-3.87757,  2.21026)
(-3.87756,  2.34188)
(-3.87756,  2.4735)
(-3.87756,  2.60513)
(-3.87756,  2.73675)
(-3.87755,  2.86838)
(-3.87755,  3)
(-3.57147,  0.499656)
(-3.57147,  0.631253)
(-3.57146,  0.76285)
(-3.57146,  0.894447)
(-3.57146,  1.02604)
(-3.57146,  1.15764)
(-3.57146,  1.28924)
(-3.57145,  1.42084)
(-3.57145,  1.55243)
(-3.57145,  1.68403)
(-3.57145,  1.81563)
(-3.57145,  1.94722)
(-3.57144,  2.07882)
(-3.57144,  2.21042)
(-3.57144,  2.34201)
(-3.57144,  2.47361)
(-3.57143,  2.60521)
(-3.57143,  2.73681)
(-3.57143,  2.8684)
(-3.57143,  3)
(-3.26533,  0.499861)
(-3.26533,  0.631448)
(-3.26533,  0.763034)
(-3.26533,  0.89462)
(-3.26533,  1.02621)
(-3.26533,  1.15779)
(-3.26533,  1.28938)
(-3.26532,  1.42097)
(-3.26532,  1.55255)
(-3.26532,  1.68414)
(-3.26532,  1.81572)
(-3.26532,  1.94731)
(-3.26532,  2.0789)
(-3.26532,  2.21048)
(-3.26531,  2.34207)
(-3.26531,  2.47366)
(-3.26531,  2.60524)
(-3.26531,  2.73683)
(-3.26531,  2.86841)
(-3.26531,  3)
(-2.9592,  0.499929)
(-2.9592,  0.631511)
(-2.9592,  0.763094)
(-2.9592,  0.894677)
(-2.9592,  1.02626)
(-2.9592,  1.15784)
(-2.9592,  1.28942)
(-2.95919,  1.42101)
(-2.95919,  1.55259)
(-2.95919,  1.68417)
(-2.95919,  1.81576)
(-2.95919,  1.94734)
(-2.95919,  2.07892)
(-2.95919,  2.2105)
(-2.95919,  2.34209)
(-2.95919,  2.47367)
(-2.95919,  2.60525)
(-2.95919,  2.73683)
(-2.95918,  2.86842)
(-2.95918,  3)
(-2.65307,  0.499824)
(-2.65307,  0.631412)
(-2.65307,  0.763)
(-2.65307,  0.894588)
(-2.65307,  1.02618)
(-2.65307,  1.15776)
(-2.65307,  1.28935)
(-2.65306,  1.42094)
(-2.65306,  1.55253)
(-2.65306,  1.68412)
(-2.65306,  1.81571)
(-2.65306,  1.94729)
(-2.65306,  2.07888)
(-2.65306,  2.21047)
(-2.65306,  2.34206)
(-2.65306,  2.47365)
(-2.65306,  2.60524)
(-2.65306,  2.73682)
(-2.65306,  2.86841)
(-2.65306,  3)
(-2.34693,  0.499561)
(-2.34693,  0.631163)
(-2.34693,  0.762765)
(-2.34693,  0.894367)
(-2.34693,  1.02597)
(-2.34693,  1.15757)
(-2.34693,  1.28917)
(-2.34694,  1.42078)
(-2.34694,  1.55238)
(-2.34694,  1.68398)
(-2.34694,  1.81558)
(-2.34694,  1.94718)
(-2.34694,  2.07879)
(-2.34694,  2.21039)
(-2.34694,  2.34199)
(-2.34694,  2.47359)
(-2.34694,  2.60519)
(-2.34694,  2.7368)
(-2.34694,  2.8684)
(-2.34694,  3)
(-2.0408,  0.498904)
(-2.0408,  0.630541)
(-2.0408,  0.762178)
(-2.0408,  0.893814)
(-2.0408,  1.02545)
(-2.0408,  1.15709)
(-2.0408,  1.28872)
(-2.04081,  1.42036)
(-2.04081,  1.552)
(-2.04081,  1.68363)
(-2.04081,  1.81527)
(-2.04081,  1.94691)
(-2.04081,  2.07854)
(-2.04081,  2.21018)
(-2.04081,  2.34182)
(-2.04081,  2.47345)
(-2.04081,  2.60509)
(-2.04081,  2.73673)
(-2.04082,  2.86836)
(-2.04082,  3)
(-1.73467,  0.497266)
(-1.73467,  0.628989)
(-1.73467,  0.760712)
(-1.73467,  0.892435)
(-1.73467,  1.02416)
(-1.73467,  1.15588)
(-1.73467,  1.2876)
(-1.73468,  1.41933)
(-1.73468,  1.55105)
(-1.73468,  1.68277)
(-1.73468,  1.81449)
(-1.73468,  1.94622)
(-1.73468,  2.07794)
(-1.73468,  2.20966)
(-1.73469,  2.34139)
(-1.73469,  2.47311)
(-1.73469,  2.60483)
(-1.73469,  2.73655)
(-1.73469,  2.86828)
(-1.73469,  3)
(-1.42853,  0.493209)
(-1.42853,  0.625146)
(-1.42854,  0.757082)
(-1.42854,  0.889018)
(-1.42854,  1.02095)
(-1.42854,  1.15289)
(-1.42854,  1.28483)
(-1.42855,  1.41676)
(-1.42855,  1.5487)
(-1.42855,  1.68064)
(-1.42855,  1.81257)
(-1.42855,  1.94451)
(-1.42856,  2.07645)
(-1.42856,  2.20838)
(-1.42856,  2.34032)
(-1.42856,  2.47225)
(-1.42857,  2.60419)
(-1.42857,  2.73613)
(-1.42857,  2.86806)
(-1.42857,  3)
(-1.1224,  0.48333)
(-1.1224,  0.615787)
(-1.1224,  0.748243)
(-1.12241,  0.880699)
(-1.12241,  1.01316)
(-1.12241,  1.14561)
(-1.12241,  1.27807)
(-1.12242,  1.41052)
(-1.12242,  1.54298)
(-1.12242,  1.67544)
(-1.12243,  1.80789)
(-1.12243,  1.94035)
(-1.12243,  2.07281)
(-1.12243,  2.20526)
(-1.12244,  2.33772)
(-1.12244,  2.47017)
(-1.12244,  2.60263)
(-1.12244,  2.73509)
(-1.12245,  2.86754)
(-1.12245,  3)
(-0.816269,  0.460236)
(-0.816272,  0.593908)
(-0.816275,  0.727579)
(-0.816278,  0.861251)
(-0.816281,  0.994923)
(-0.816284,  1.12859)
(-0.816287,  1.26227)
(-0.81629,  1.39594)
(-0.816293,  1.52961)
(-0.816296,  1.66328)
(-0.816299,  1.79695)
(-0.816302,  1.93063)
(-0.816305,  2.0643)
(-0.816308,  2.19797)
(-0.816311,  2.33164)
(-0.816314,  2.46531)
(-0.816317,  2.59898)
(-0.81632,  2.73266)
(-0.816324,  2.86633)
(-0.816327,  3)
(-0.510154,  0.411036)
(-0.510156,  0.547297)
(-0.510159,  0.683558)
(-0.510162,  0.819819)
(-0.510164,  0.956081)
(-0.510167,  1.09234)
(-0.51017,  1.2286)
(-0.510172,  1.36486)
(-0.510175,  1.50113)
(-0.510178,  1.63739)
(-0.51018,  1.77365)
(-0.510183,  1.90991)
(-0.510185,  2.04617)
(-0.510188,  2.18243)
(-0.510191,  2.31869)
(-0.510193,  2.45495)
(-0.510196,  2.59122)
(-0.510199,  2.72748)
(-0.510201,  2.86374)
(-0.510204,  3)
(-0.204075,  0.324223)
(-0.204076,  0.465053)
(-0.204076,  0.605884)
(-0.204076,  0.746714)
(-0.204077,  0.887545)
(-0.204077,  1.02837)
(-0.204077,  1.16921)
(-0.204078,  1.31004)
(-0.204078,  1.45087)
(-0.204078,  1.5917)
(-0.204079,  1.73253)
(-0.204079,  1.87336)
(-0.204079,  2.01419)
(-0.20408,  2.15502)
(-0.20408,  2.29585)
(-0.20408,  2.43668)
(-0.204081,  2.57751)
(-0.204081,  2.71834)
(-0.204081,  2.85917)
(-0.204082,  3)
(0.101967,  0.212057)
(0.101971,  0.358791)
(0.101975,  0.505524)
(0.101979,  0.652258)
(0.101982,  0.798992)
(0.101986,  0.945726)
(0.10199,  1.09246)
(0.101994,  1.23919)
(0.101998,  1.38593)
(0.102002,  1.53266)
(0.102006,  1.6794)
(0.10201,  1.82613)
(0.102014,  1.97286)
(0.102017,  2.1196)
(0.102021,  2.26633)
(0.102025,  2.41306)
(0.102029,  2.5598)
(0.102033,  2.70653)
(0.102037,  2.85327)
(0.102041,  3)
(0.40803,  0.113608)
(0.408037,  0.265523)
(0.408044,  0.417439)
(0.408051,  0.569354)
(0.408058,  0.721269)
(0.408065,  0.873185)
(0.408072,  1.0251)
(0.408079,  1.17702)
(0.408086,  1.32893)
(0.408093,  1.48085)
(0.4081,  1.63276)
(0.408107,  1.78468)
(0.408114,  1.93659)
(0.408121,  2.08851)
(0.408128,  2.24042)
(0.408135,  2.39234)
(0.408142,  2.54425)
(0.408149,  2.69617)
(0.408156,  2.84808)
(0.408163,  3)
(0.714136,  0.0525205)
(0.714143,  0.207651)
(0.714151,  0.362781)
(0.714159,  0.517912)
(0.714167,  0.673042)
(0.714175,  0.828173)
(0.714183,  0.983303)
(0.714191,  1.13843)
(0.714199,  1.29356)
(0.714207,  1.44869)
(0.714215,  1.60383)
(0.714222,  1.75896)
(0.71423,  1.91409)
(0.714238,  2.06922)
(0.714246,  2.22435)
(0.714254,  2.37948)
(0.714262,  2.53461)
(0.71427,  2.68974)
(0.714278,  2.84487)
(0.714286,  3)
(1.02026,  0.0223761)
(1.02027,  0.179093)
(1.02028,  0.33581)
(1.02029,  0.492527)
(1.02029,  0.649244)
(1.0203,  0.805961)
(1.02031,  0.962678)
(1.02032,  1.1194)
(1.02032,  1.27611)
(1.02033,  1.43283)
(1.02034,  1.58955)
(1.02035,  1.74626)
(1.02035,  1.90298)
(1.02036,  2.0597)
(1.02037,  2.21641)
(1.02038,  2.37313)
(1.02039,  2.52985)
(1.02039,  2.68657)
(1.0204,  2.84328)
(1.02041,  3)
(1.32639,  0.00917792)
(1.3264,  0.16659)
(1.32641,  0.324001)
(1.32642,  0.481413)
(1.32642,  0.638825)
(1.32643,  0.796236)
(1.32644,  0.953648)
(1.32644,  1.11106)
(1.32645,  1.26847)
(1.32646,  1.42588)
(1.32647,  1.58329)
(1.32647,  1.74071)
(1.32648,  1.89812)
(1.32649,  2.05553)
(1.32649,  2.21294)
(1.3265,  2.37035)
(1.32651,  2.52776)
(1.32652,  2.68518)
(1.32652,  2.84259)
(1.32653,  3)
(1.63253,  0.00370383)
(1.63253,  0.161404)
(1.63254,  0.319103)
(1.63255,  0.476803)
(1.63255,  0.634503)
(1.63256,  0.792203)
(1.63257,  0.949903)
(1.63257,  1.1076)
(1.63258,  1.2653)
(1.63259,  1.423)
(1.63259,  1.5807)
(1.6326,  1.7384)
(1.63261,  1.8961)
(1.63261,  2.0538)
(1.63262,  2.2115)
(1.63263,  2.3692)
(1.63263,  2.5269)
(1.63264,  2.6846)
(1.63265,  2.8423)
(1.63265,  3)
(1.93866,  0.0014846)
(1.93867,  0.159301)
(1.93867,  0.317118)
(1.93868,  0.474934)
(1.93869,  0.632751)
(1.93869,  0.790568)
(1.9387,  0.948384)
(1.9387,  1.1062)
(1.93871,  1.26402)
(1.93872,  1.42183)
(1.93872,  1.57965)
(1.93873,  1.73747)
(1.93873,  1.89528)
(1.93874,  2.0531)
(1.93875,  2.21092)
(1.93875,  2.36873)
(1.93876,  2.52655)
(1.93876,  2.68437)
